loading app simple_switch_stp_13.py
loading app ryu.controller.ofp_handler
instantiating app None of Stp
creating context stplib
instantiating app simple_switch_stp_13.py of SimpleSwitch13
instantiating app ryu.controller.ofp_handler of OFPHandler
packet in 1152921504606846984 00:00:00:00:00:03 00:00:00:00:00:04 2
packet in 1152921504606846984 00:00:00:00:00:03 00:00:00:00:00:05 2
packet in 1152921504606846985 00:00:00:00:00:03 00:00:00:00:00:05 3
packet in 1152921504606846985 00:00:00:00:00:03 00:00:00:00:00:04 3
packet in 1152921504606846985 00:00:00:00:00:03 00:00:00:00:00:04 3
packet in 1152921504606846985 00:00:00:00:00:03 00:00:00:00:00:05 3
packet in 1152921504606846984 00:00:00:00:00:09 00:00:00:00:00:04 1
packet in 1152921504606846984 00:00:00:00:00:09 00:00:00:00:00:05 1
packet in 1152921504606846985 00:00:00:00:00:09 00:00:00:00:00:04 3
packet in 1152921504606846984 00:00:00:00:00:06 00:00:00:00:00:04 2
packet in 1152921504606846984 00:00:00:00:00:06 00:00:00:00:00:05 2
packet in 1152921504606846983 00:00:00:00:00:05 00:00:00:00:00:06 2
packet in 1152921504606846985 00:00:00:00:00:06 00:00:00:00:00:04 3
packet in 1152921504606846985 00:00:00:00:00:06 00:00:00:00:00:05 3
packet in 1152921504606846984 00:00:00:00:00:06 00:00:00:00:00:04 2
packet in 1152921504606846983 00:00:00:00:00:04 00:00:00:00:00:06 2
packet in 1152921504606846984 00:00:00:00:00:06 00:00:00:00:00:05 2
packet in 1152921504606846985 00:00:00:00:00:06 00:00:00:00:00:04 3
packet in 1152921504606846985 00:00:00:00:00:06 00:00:00:00:00:05 3
packet in 1152921504606846983 00:00:00:00:00:05 00:00:00:00:00:06 2
packet in 1152921504606846983 00:00:00:00:00:04 00:00:00:00:00:06 2
packet in 1152921504606846983 00:00:00:00:00:07 00:00:00:00:00:06 2
packet in 1152921504606846984 00:00:00:00:00:06 00:00:00:00:00:07 2
packet in 1152921504606846984 00:00:00:00:00:09 00:00:00:00:00:07 1
packet in 1152921504606846985 00:00:00:00:00:06 00:00:00:00:00:07 3
packet in 1152921504606846985 00:00:00:00:00:09 00:00:00:00:00:07 3
packet in 1152921504606846983 00:00:00:00:00:08 00:00:00:00:00:06 1
packet in 1152921504606846983 00:00:00:00:00:07 00:00:00:00:00:06 2
packet in 1152921504606846984 00:00:00:00:00:06 00:00:00:00:00:07 2
packet in 1152921504606846985 00:00:00:00:00:06 00:00:00:00:00:07 3
packet in 1152921504606846983 f6:41:fc:2d:59:d6 33:33:00:00:00:02 4
packet in 1152921504606846984 f6:41:fc:2d:59:d6 33:33:00:00:00:02 2
packet in 1152921504606846985 f6:41:fc:2d:59:d6 33:33:00:00:00:02 3
packet in 1152921504606846984 2a:db:c3:db:c1:42 33:33:00:00:00:02 4
packet in 1152921504606846983 2a:db:c3:db:c1:42 33:33:00:00:00:02 2
packet in 1152921504606846984 92:23:85:00:aa:8d 33:33:00:00:00:02 2
packet in 1152921504606846985 92:23:85:00:aa:8d 33:33:00:00:00:02 3
packet in 1152921504606846984 4e:5f:8b:b6:f1:4b 33:33:00:00:00:02 2
packet in 1152921504606846985 4e:5f:8b:b6:f1:4b 33:33:00:00:00:02 3
packet in 1152921504606846983 92:23:85:00:aa:8d 33:33:00:00:00:02 2
packet in 1152921504606846983 1e:51:ae:23:78:6f 33:33:00:00:00:02 2
packet in 1152921504606846984 42:9c:ea:45:89:b8 33:33:00:00:00:02 2
packet in 1152921504606846985 42:9c:ea:45:89:b8 33:33:00:00:00:02 3
packet in 1152921504606846984 e2:b7:dc:6f:e5:3e 33:33:00:00:00:02 2
packet in 1152921504606846985 e2:b7:dc:6f:e5:3e 33:33:00:00:00:02 3
packet in 1152921504606846983 02:23:cf:95:c7:a2 33:33:00:00:00:02 2
packet in 1152921504606846985 6e:45:9d:a2:3b:5c 33:33:00:00:00:02 3
packet in 1152921504606846983 12:18:f5:a5:c0:12 33:33:00:00:00:02 2
packet in 1152921504606846984 e2:b7:dc:6f:e5:3e 33:33:00:00:00:fb 2
packet in 1152921504606846983 0e:8f:95:fb:3a:b9 33:33:00:00:00:fb 2
packet in 1152921504606846985 e2:b7:dc:6f:e5:3e 33:33:00:00:00:fb 3
packet in 1152921504606846984 6a:c1:ed:fa:6d:5e 33:33:00:00:00:fb 2
packet in 1152921504606846985 6a:c1:ed:fa:6d:5e 33:33:00:00:00:fb 3
packet in 1152921504606846983 02:23:cf:95:c7:a2 33:33:00:00:00:fb 2
packet in 1152921504606846983 b2:4b:07:24:04:f4 33:33:00:00:00:fb 2
packet in 1152921504606846983 12:18:f5:a5:c0:12 33:33:00:00:00:fb 2
packet in 1152921504606846984 06:be:be:71:75:6d 33:33:00:00:00:fb 2
packet in 1152921504606846985 06:be:be:71:75:6d 33:33:00:00:00:fb 3
packet in 1152921504606846984 c6:80:e7:d8:b7:c0 33:33:00:00:00:fb 2
packet in 1152921504606846985 c6:80:e7:d8:b7:c0 33:33:00:00:00:fb 3
packet in 1152921504606846984 1a:36:ad:13:f6:1c 33:33:00:00:00:fb 2
packet in 1152921504606846985 1a:36:ad:13:f6:1c 33:33:00:00:00:fb 3
packet in 1152921504606846984 4e:5f:8b:b6:f1:4b 33:33:00:00:00:fb 2
packet in 1152921504606846984 da:35:08:0c:b1:6d 33:33:00:00:00:fb 2
packet in 1152921504606846985 4e:5f:8b:b6:f1:4b 33:33:00:00:00:fb 3
packet in 1152921504606846985 da:35:08:0c:b1:6d 33:33:00:00:00:fb 3
packet in 1152921504606846983 da:35:08:0c:b1:6d 33:33:00:00:00:fb 2
packet in 1152921504606846983 e2:97:e0:31:07:71 33:33:00:00:00:fb 2
packet in 1152921504606846983 f2:22:ee:2b:1e:20 33:33:00:00:00:02 2
packet in 1152921504606846984 2a:db:c3:db:c1:42 33:33:00:00:00:fb 4
packet in 1152921504606846983 2a:db:c3:db:c1:42 33:33:00:00:00:fb 2
packet in 1152921504606846983 1e:51:ae:23:78:6f 33:33:00:00:00:fb 2
packet in 1152921504606846984 92:23:85:00:aa:8d 33:33:00:00:00:fb 2
packet in 1152921504606846985 92:23:85:00:aa:8d 33:33:00:00:00:fb 3
packet in 1152921504606846983 92:23:85:00:aa:8d 33:33:00:00:00:fb 2
packet in 1152921504606846985 6e:45:9d:a2:3b:5c 33:33:00:00:00:fb 3
packet in 1152921504606846984 42:9c:ea:45:89:b8 33:33:00:00:00:fb 2
packet in 1152921504606846985 42:9c:ea:45:89:b8 33:33:00:00:00:fb 3
packet in 1152921504606846983 ae:4a:3a:ab:b0:0d 33:33:00:00:00:fb 2
packet in 1152921504606846984 ae:4a:3a:ab:b0:0d 33:33:00:00:00:fb 2
packet in 1152921504606846985 ae:4a:3a:ab:b0:0d 33:33:00:00:00:fb 3
packet in 1152921504606846984 16:c0:48:3e:3a:10 33:33:00:00:00:fb 3
packet in 1152921504606846985 16:c0:48:3e:3a:10 33:33:00:00:00:fb 3
packet in 1152921504606846983 f2:22:ee:2b:1e:20 33:33:00:00:00:fb 2
packet in 1152921504606846983 16:c0:48:3e:3a:10 33:33:00:00:00:fb 2
packet in 1152921504606846983 f6:41:fc:2d:59:d6 33:33:00:00:00:fb 4
packet in 1152921504606846984 f6:41:fc:2d:59:d6 33:33:00:00:00:fb 2
packet in 1152921504606846985 f6:41:fc:2d:59:d6 33:33:00:00:00:fb 3
packet in 1152921504606846983 ae:4a:3a:ab:b0:0d 33:33:00:00:00:02 2
packet in 1152921504606846983 e2:97:e0:31:07:71 33:33:00:00:00:02 2
packet in 1152921504606846983 0e:8f:95:fb:3a:b9 33:33:00:00:00:02 2
packet in 1152921504606846984 ae:4a:3a:ab:b0:0d 33:33:00:00:00:02 2
packet in 1152921504606846985 ae:4a:3a:ab:b0:0d 33:33:00:00:00:02 3
packet in 1152921504606846984 06:be:be:71:75:6d 33:33:00:00:00:02 2
packet in 1152921504606846985 06:be:be:71:75:6d 33:33:00:00:00:02 3
